playlist_name,playlist_id,title,video_id,date,length,nview,nlike,ndislike
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: An Unexpected Turn of Events!,3rbJOhriUHE,2015.9.28,1549,10780,254,4
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: 100 Skull Golem! (Gameplay),a-HnywwRrxM,2015.9.18,948,10516,232,4
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Li Li Gameplay! (4K),ShEDQ61LWAA,2015.9.15,1576,8350,175,2
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: ""Jungle Rexxar"" Talent Build Guide! (4K)",flHhmePfNg8,2015.9.11,977,11574,190,2
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Rexxar Gameplay! (4K),K-KKPpn80v8,2015.9.9,1178,21593,264,24
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: ""Basic Attack"" Valla Gameplay!",7vBr9ifcak0,2015.9.4,1067,11298,192,5
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Fun Times With Raynor! (4K),4SeQSHS9_WE,2015.8.31,1178,12444,214,6
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: ""Healer Kharazim"" Talent Build Guide! (4K Gameplay)",qPk_68OASXM,2015.8.27,1027,8227,171,1
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Chain Bombing with Kael'thas! (Gameplay),juMKn8eMgEw,2015.8.24,1086,13552,239,2
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Full Healer Kharazim! (Gameplay),E2hyBmYoyMM,2015.8.19,1197,12077,271,4
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Sylvanas Shenanigans! (4K),Geui0kFNWDE,2015.8.17,1565,13014,201,12
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Kerrigan Domination! (Gameplay),8vZAkGc352U,2015.8.14,795,13753,339,7
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Kharazim the Diablo Monk Gameplay on the Infernal Shrines! (4K),ptyouhkesyw,2015.8.12,652,13669,275,12
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Tassadar Build - How To Tassadar! (Gameplay),FXcLJqgrzUo,2015.8.10,1121,18446,282,10
